TSS,Site,Date
3.06,S1,20170307
1.8,S2,20170307
2.64,S3,20170307
2.72,S4,20170307
2.02,S5,20170307
10.46,B1,20170307
3.195,P4,20170308
1.09,P5,20170308
-0.145,P6,20170308
0.675,P7,20170308
2.36,S1,20170404
2.34,S2,20170404
2.78,S3,20170404
2.66,S4,20170404
2.2,S5,20170404
6.6,B1,20170404
0.87,P1,20170406
1.79,P2,20170406
0.14,P3,20170406
2.01,P7,20170406
4,S1,20170503
4.1,S2,20170503
3.2,S3,20170503
3.84,S4,20170503
3.24,S5,20170503
12.12,B1,20170504
1.16,P1,20170504
1.51,P2,20170504
0.9,P3,20170504
1.57,P4,20170504
4.64,S1,20170602
4.34,S2,20170602
4.98,S3,20170602
4.8,S4,20170602
3.9,S5,20170602
15.8,B1,20170601
2.4,P1,20170601
2.16,P2,20170601
2.42,P3,20170601
1.64,P4,20170601
4.166666667,S1,20170715
4.816666667,S2,20170715
4.8,S3,20170715
5.033333333,S4,20170715
3.5,S5,20170715
2.62,B1,20170713
2.97,P1,20170713
3.54,P2,20170713
2.2,P3,20170713
2.38,P4,20170713
5.666666667,S1,20170804
5.833333333,S2,20170804
4.216666667,S3,20170804
6.066666667,S4,20170804
5.283333333,S5,20170804
1.68,B1,20170803
1.84,P1,20170803
1.74,P2,20170803
1.87,P3,20170803
2.14,P4,20170803
5.25,S1,20170905
5.6,S2,20170905
6.45,S3,20170905
2.95,S4,20170905
5.983333333,S5,20170905
3.316666667,B1,20170907
1.0625,P1,20170907
1.175,P2,20170907
0.95,P3,20170907
1.6625,P4,20170907
4.48,S1,20171004
4.2,S2,20171004
4.2,S3,20171004
4.14,S4,20171004
2.9,S5,20171004
3.388888889,B1,20171003
1.37,P1,20171003
1.74,P2,20171003
1.51,P3,20171003
1.24,P4,20171003
0.846153846,S1,20171116
2.057692308,S2,20171116
3.673076923,S3,20171116
3.115384615,S4,20171116
2.923076923,S5,20171116
2.596153846,B1,20171117
1.283333333,S1,20171215
1.6,S2,20171215
1.466666667,S3,20171215
1.466666667,S4,20171215
1.583333333,S5,20171215
4.230769231,B1,20171206
2.48,P1,20171206
1.82,P4,20171206
0.933333333,S1,20180104
1.133333333,S2,20180104
1,S3,20180104
1.5,S4,20180104
1.266666667,S5,20180104
3.233333333,B1,20180123
1.0875,P1,20180124
0.8125,P2,20180124
1.4125,P3,20180124
1.6125,P4,20180124
1.133333333,SA,20180115
1.35,SB,20180115
1.183333333,SC,20180115
1.1,SD,20180115
1.4,SE,20180115
1.25,SF,20180115
2.383333333,S1,20180221
3,S2,20180221
3.383333333,S3,20180221
1.583333333,S4,20180221
1.566666667,S5,20180221
2.85,B1,20180207
2.6625,P1,20180207
2.0125,P2,20180207
2.3125,P3,20180207
0.9375,P4,20180207
8.458333333,S2,20070308
7.973684211,S2,20070321
7.454545455,S2,20070404
6.72,S2,20070410
6,S2,20070424
5.0390625,S2,20070509
5.3,S2,20070523
3.725,S2,20070605
8.833333333,S2,20070710
7.45,S2,20070808
3.366666667,S2,20070911
1.67,S2,20071009
3.666666667,S2,20071113
2,S2,20071204
4.5,S2,20080117
11.5,S2,20080212
3.311529027,S2,20080313
1.5625,S2,20080401
8.75,S2,20080508
19.95,S2,20080610
15,S2,20080708
13.875,S2,20080806
4.1,S2,20080909
2.816666667,S2,20081015
3.428571429,S2,20081111
2.104166667,S2,20081209
1.025,S2,20090113
0.636363636,S2,20090210
1.1,S2,20090310
1.92,S2,20090414
2.46,S2,20090512
13.75,B1,20080212
2.355,B1,20080408
6.075,B1,20080610
1.445,B1,20080708
1.977898551,B1,20080806
1.14375,B1,20080908
0.98,B1,20081007
4.25,B1,20081104
5.25,B1,20081202
6.9,B1,20090106
9.25,B1,20090203
3.3125,B1,20090312
2.825,B1,20090407
0.77,P1,20080724
1.19,P1,20080902
1.52,P1,20080930
0.953333333,P1,20081029
1.04,P1,20081203
0.793333333,P1,20090106
1.08,P1,20090203
0.41,P1,20090312
0.305,P1,20090407
1.12,P1,20090505
