Chlorophyll,Site,Date
7.2825,S1,20170307
7.3125,S2,20170307
7.2,S3,20170307
7.2725,S4,20170307
7.1125,S5,20170307
32.7175,B1,20170307
3.58825,P4,20170308
5.43575,P5,20170308
2.25775,P6,20170308
0.46375,P7,20170308
6.9,S1,20170404
5.49,S2,20170404
6.19,S3,20170404
7.315,S4,20170404
6.015,S5,20170404
7.065,B1,20170404
6.640833333,P1,20170406
6.4375,P2,20170406
2.686666667,P3,20170406
11.38583333,P7,20170406
4.7775,S1,20170503
4.27,S2,20170503
6.015,S3,20170503
9.0175,S4,20170503
4.27,S5,20170503
86.1,B1,20170504
2.78625,P1,20170504
3.115,P2,20170504
2.113125,P3,20170504
7.740625,P4,20170504
15.2925,S1,20170602
14.695,S2,20170602
18.9625,S3,20170602
25.97,S4,20170602
13.38,S5,20170602
150.2375,B1,20170601
8.181666667,P1,20170601
7.160833333,P2,20170601
9.159166667,P3,20170601
7.328333333,P4,20170601
19.7325,S1,20170715
21.88,S2,20170715
23.8675,S3,20170715
33.5,S4,20170715
22.405,S5,20170715
16.1875,B1,20170713
4.055,P1,20170713
4.574166667,P2,20170713
4.913333333,P3,20170713
5.966666667,P4,20170713
36.73333333,S1,20170804
44.28333333,S2,20170804
29.80833333,S3,20170804
45.50833333,S4,20170804
36.525,S5,20170804
7.4325,B1,20170803
3.784166667,P1,20170803
4.105833333,P2,20170803
4.443333333,P3,20170803
5.464166667,P4,20170803
33.395,S1,20170905
33.98,S2,20170905
32.445,S3,20170905
25.895,S4,20170905
30.465,S5,20170905
11.61,B1,20170907
1.6975,P1,20170907
1.665625,P2,20170907
1.77,P3,20170907
2.255,P4,20170907
25.755,S1,20171004
24.39,S2,20171004
27.835,S3,20171004
27.465,S4,20171004
25.65,S5,20171004
20.8275,B1,20171003
3.304166667,P1,20171003
3.265416667,P2,20171003
3.328333333,P3,20171003
3.151666667,P4,20171003
19.71875,S1,20171116
18.59375,S2,20171116
21.75625,S3,20171116
19.928125,S4,20171116
20.134375,S5,20171116
5.2275,B1,20171117
2.639,S1,20171215
2.715,S2,20171215
3.09,S3,20171215
2.776,S4,20171215
2.967,S5,20171215
7.62,B1,20171206
2.11275,P1,20171206
1.31825,P4,20171206
3.3595,S1,20180104
4.4755,S2,20180104
5.0875,S3,20180104
4.652,S4,20180104
3.462,S5,20180104
5.286666667,B1,20180123
1.48175,P1,20180124
1.5705,P2,20180124
1.38625,P3,20180124
1.7255,P4,20180124
1.69,SA,20180115
2.50825,SB,20180115
2.12825,SC,20180115
2.01525,SD,20180115
3.872,SE,20180115
2.89475,SF,20180115
1.114666667,S1,20180221
1.790666667,S2,20180221
2.2305,S3,20180221
1.9185,S4,20180221
1.700333333,S5,20180221
10.17666667,B1,20180207
2.63375,P1,20180207
2.54375,P2,20180207
2.3885,P3,20180207
2.2475,P4,20180207
19.11892792,S2,20070308
25.44874097,S2,20070321
22.63527218,S2,20070504
19.80538405,S2,20070410
24.79793943,S2,20070424
13.51106161,S2,20070509
8.417079137,S2,20070523
10.28373512,S2,20070605
18.51658076,S2,20070710
18.68882768,S2,20070808
10.23022888,S2,20070911
12.02398359,S2,20071009
10.35768258,S2,20071113
5.020110033,S2,20071204
18.61228866,S2,20080117
54.80415088,S2,20080212
8.83898181,S2,20080313
3.018336061,S2,20080401
22.69634438,S2,20080508
55.09448983,S2,20080610
36.51790989,S2,20080708
55.14233598,S2,20080806
12.54570799,S2,20080909
20.92958318,S2,20081015
23.08636803,S2,20081111
15.99936989,S2,20081209
1.675021438,S2,20090113
7.913557761,S2,20090210
5.504533591,S2,20090310
9.703391879,S2,20090313
8.824182343,S2,20090414
6.432390595,S2,20090512
14.49759035,S2,20090609
20.63155443,S2,20090716
13.43950024,S2,20090810
12.4524348,S2,20090910
7.549473208,S2,20091013
10.72824125,S2,20091110
10.32089095,S2,20091216
9.324196291,S2,20100113
62.77437103,S2,20100215
11.34554998,S2,20100310
17.32277498,S2,20100412
7.15262098,S2,20100512
6.254518858,S2,20100610
15.23922746,S2,20100714
7.078,S2,20100811
10.2189156,S2,20100920
7.499708446,S2,20101011
12.55713126,S2,20101108
6.125339941,S2,20101207
1.697037871,B1,20080212
4.94511786,B1,20080408
12.33928779,B1,20080603
2.863594485,B1,20080708
4.804769649,B1,20080806
3.938470091,B1,20080908
3.870153423,B1,20081007
2.433603857,B1,20081111
3.284016156,B1,20081202
1.678137059,B1,20090106
108.0338933,B1,20090203
152.7740611,B1,20090303
63.50909726,B1,20090407
22.59796739,B1,20090505
42.91444778,B1,20090602
30.29164743,B1,20090707
27.79317988,B1,20090804
4.299673843,B1,20090901
3.547012241,B1,20091006
2.74286556,B1,20091103
0.99,P1,20080724
1.357342922,P1,20080902
4.620945954,P1,20080930
2.519525743,P1,20081029
0.744249337,P1,20081203
1.121706795,P1,20090106
1.85727318,P1,20090203
0.303512256,P1,20090312
0.303512256,P1,20090407
3.41,P1,20090505
0.85,P1,20090602
0.56,P1,20090706
0.38,P1,20090804
0.61,P1,20090901
0.93,P1,20091006
0.92,P1,20091103
0.68,P1,20091201
1.61,P1,20100106
0.24,P1,20100202
1.3,P1,20100303
1.33,P1,20100413
3.95,P1,20100506
1.609572266,P1,20100603
1.20,P1,20100708
