Date1,Date2,Site ,Chl-a 1 (µg/L),Chl-a 2 (µg/L),Chl-a blank (µg/L) ,Corrected Chl-a 1 (µg/L),Corrected Chl-a 2 (µg/L),Chl-a Volume Filtered (mL),Chl-a 1 (mg/m^3),Chl-a 2 (mg/m^3),Value,Std. Dev,Std. Error,Variable
20170307B1,3/7/2017,B1,64.7,64.57,-0.8,65.5,65.37,10,32.75,32.685,32.7175,0.045961941,0.0325,chloro
20170404B1,4/4/2017,B1,13.41,13.25,-0.8,14.21,14.05,10,7.105,7.025,7.065,0.056568542,0.04,chloro
20170504B1,5/4/2017,B1,33.51,33.77,-0.8,34.31,34.57,2,85.775,86.425,86.1,0.459619408,0.325,chloro
20170601B1,6/1/2017,B1,58.28,57.91,-2,60.28,59.91,2,150.7,149.775,150.2375,0.654073773,0.4625,chloro
20170713B1,7/13/2017,B1,11,10.48,-2.21,13.21,12.69,4,16.5125,15.8625,16.1875,0.459619408,0.325,chloro
20170803B1,8/3/2017,B1,13.01,12.3,-2.21,15.22,14.51,10,7.61,7.255,7.4325,0.251022907,0.1775,chloro
20170907B1,9/7/2017,B1,44.14,44.5,-2.12,46.26,46.62,20,11.565,11.655,11.61,0.06363961,0.045,chloro
20171003B1,10/3/2017,B1,82.58,80.04,-2,84.58,82.04,20,21.145,20.51,20.8275,0.449012806,0.3175,chloro
20171117B1,11/17/2017,B1,17.98,16.2,-3.82,21.8,20.02,20,5.45,5.005,5.2275,0.314662518,0.2225,chloro
20171206B1,12/6/2017,B1,26.37,26.95,-3.82,30.19,30.77,20,7.5475,7.6925,7.62,0.102530483,0.0725,chloro
20180123B1,1/23/2018,B1,29.03,28.09,-3.16,32.19,31.25,30,5.365,5.208333333,5.286666667,0.110780062,0.078333333,chloro
20180207B1,2/7/2018,B1,52.56,63.24,-3.16,55.72,66.4,30,9.286666667,11.06666667,10.17666667,1.258650071,0.89,chloro
20180321B1,3/21/2018,B1,56.78,55.28,-2.35,59.13,57.63,5,212.868,207.468,210.168,3.818376618,2.7,chloro
