Date1,Date2,Site ,Chl-a 1 (µg/L),Chl-a 2 (µg/L),Chl-a blank (µg/L) ,Corrected Chl-a 1 (µg/L),Corrected Chl-a 2 (µg/L),Chl-a Volume Filtered (mL),Chl-a 1 (mg/m^3),Chl-a 2 (mg/m^3),Value,Std. Dev,Std. Error,Variable 
20170406P1,4/6/2017,P1,38.03,40.06,-0.8,38.83,40.86,30,6.471666667,6.81,6.640833333,0.239237794,0.169166667,chloro
20170504P1,5/4/2017,P1,20.82,22.16,-0.8,21.62,22.96,40,2.7025,2.87,2.78625,0.118440386,0.08375,chloro
20170601P1,6/1/2017,P1,47.26,46.92,-2,49.26,48.92,30,8.21,8.153333333,8.181666667,0.040069384,0.028333333,chloro
20170713P1,7/13/2017,P1,23.1,21.14,-2.21,25.31,23.35,30,4.218333333,3.891666667,4.055,0.230988215,0.163333333,chloro
20170803P1,8/3/2017,P1,21.36,19.63,-2.21,23.57,21.84,30,3.928333333,3.64,3.784166667,0.203882455,0.144166667,chloro
20170907P1,9/7/2017,P1,11.4,11.52,-2.12,13.52,13.64,40,1.69,1.705,1.6975,0.010606602,0.0075,chloro
20171003P1,10/3/2017,P1,38.18,37.12,-2,40.18,39.12,60,3.348333333,3.26,3.304166667,0.062461099,0.044166667,chloro
20171206P1,12/6/2017,P1,40.77,36.1,-3.82,44.59,39.92,100,2.2295,1.996,2.11275,0.165109433,0.11675,chloro
20180124P1,1/24/2018,P1,26.74,26.21,-3.16,29.9,29.37,100,1.495,1.4685,1.48175,0.01873833,0.01325,chloro
20180207P1,2/7/2018,P1,45.31,53.72,-3.16,48.47,56.88,100,2.4235,2.844,2.63375,0.297338401,0.21025,chloro
20180321P1,3/21/2018,P1,68.27,64.21,-2.35,70.62,66.56,100,6.3558,5.9904,6.1731,0.258376818,0.1827,chloro
